문서 번호,가장 비중이 높은 토픽,가장 높은 토픽의 비중,각 토픽의 비중
389,1.0,0.9817,"[(1, 0.98166233)]"
390,1.0,0.9925,"[(1, 0.99245375)]"
391,1.0,0.9719,"[(1, 0.97192204)]"
392,1.0,0.9597,"[(1, 0.95967287), (3, 0.03111932)]"
393,1.0,0.9469,"[(1, 0.9469167), (4, 0.03615529)]"
394,1.0,0.9883,"[(1, 0.9883295)]"
395,1.0,0.9826,"[(1, 0.9826166)]"
396,1.0,0.9884,"[(1, 0.9884044)]"
397,3.0,0.6523,"[(1, 0.32235253), (3, 0.65231746)]"
398,1.0,0.9834,"[(1, 0.98341554)]"
399,1.0,0.8844,"[(0, 0.02886652), (1, 0.88443005), (2, 0.028926969), (3, 0.028964512), (4, 0.028811907)]"
400,1.0,0.9645,"[(1, 0.96452373)]"
401,1.0,0.9946,"[(1, 0.9945928)]"
402,1.0,0.9537,"[(1, 0.9536998), (3, 0.036522504)]"
403,1.0,0.9738,"[(1, 0.9738305)]"
404,1.0,0.9899,"[(1, 0.9899498)]"
405,1.0,0.9874,"[(1, 0.9873798)]"
406,1.0,0.9928,"[(1, 0.99281585)]"
407,1.0,0.9336,"[(1, 0.93359774), (3, 0.04619909)]"
